City,Date,Card Type,Exp Type,Gender,Amount,description
"Greater Mumbai, India",2015-01-23,Signature,Grocery,F,188230,"Spent on Grocery using Signature in Greater Mumbai, India"
"Greater Mumbai, India",2015-05-07,Platinum,Entertainment,M,233872,"Spent on Entertainment using Platinum in Greater Mumbai, India"
"Bengaluru, India",2014-07-05,Gold,Food,F,160964,"Spent on Food using Gold in Bengaluru, India"
"Bengaluru, India",2015-01-20,Silver,Entertainment,M,139087,"Spent on Entertainment using Silver in Bengaluru, India"
"Delhi, India",2013-12-01,Signature,Fuel,F,48904,"Spent on Fuel using Signature in Delhi, India"
"Delhi, India",2014-04-12,Platinum,Fuel,M,225862,"Spent on Fuel using Platinum in Delhi, India"
"Delhi, India",2013-11-29,Platinum,Fuel,M,45768,"Spent on Fuel using Platinum in Delhi, India"
"Ahmedabad, India",2014-08-04,Platinum,Food,M,75108,"Spent on Food using Platinum in Ahmedabad, India"
"Delhi, India",2015-04-05,Platinum,Fuel,F,181160,"Spent on Fuel using Platinum in Delhi, India"
"Ahmedabad, India",2013-11-23,Platinum,Grocery,M,99933,"Spent on Grocery using Platinum in Ahmedabad, India"
"Delhi, India",2013-10-22,Platinum,Grocery,M,29599,"Spent on Grocery using Platinum in Delhi, India"
"Bengaluru, India",2014-07-12,Platinum,Bills,F,4300,"Spent on Bills using Platinum in Bengaluru, India"
"Bengaluru, India",2014-05-28,Platinum,Entertainment,F,190848,"Spent on Entertainment using Platinum in Bengaluru, India"
"Delhi, India",2014-01-10,Gold,Entertainment,F,33145,"Spent on Entertainment using Gold in Delhi, India"
"Ahmedabad, India",2014-02-25,Gold,Grocery,F,260795,"Spent on Grocery using Gold in Ahmedabad, India"
"Bengaluru, India",2014-02-16,Gold,Fuel,F,264789,"Spent on Fuel using Gold in Bengaluru, India"
"Greater Mumbai, India",2014-04-28,Gold,Bills,M,291089,"Spent on Bills using Gold in Greater Mumbai, India"
"Ahmedabad, India",2015-04-27,Platinum,Bills,F,108757,"Spent on Bills using Platinum in Ahmedabad, India"
"Bengaluru, India",2014-12-08,Silver,Bills,F,28966,"Spent on Bills using Silver in Bengaluru, India"
"Bengaluru, India",2014-07-16,Signature,Grocery,F,194714,"Spent on Grocery using Signature in Bengaluru, India"
"Greater Mumbai, India",2013-11-17,Silver,Food,F,105390,"Spent on Food using Silver in Greater Mumbai, India"
"Bengaluru, India",2014-11-14,Silver,Grocery,F,171001,"Spent on Grocery using Silver in Bengaluru, India"
"Ahmedabad, India",2014-03-08,Signature,Entertainment,M,162244,"Spent on Entertainment using Signature in Ahmedabad, India"
"Delhi, India",2014-01-20,Platinum,Fuel,M,184287,"Spent on Fuel using Platinum in Delhi, India"
"Bengaluru, India",2014-05-19,Silver,Entertainment,M,144479,"Spent on Entertainment using Silver in Bengaluru, India"
"Bengaluru, India",2014-04-06,Signature,Entertainment,F,243496,"Spent on Entertainment using Signature in Bengaluru, India"
"Bengaluru, India",2015-03-26,Silver,Fuel,F,254886,"Spent on Fuel using Silver in Bengaluru, India"
"Delhi, India",2014-10-02,Platinum,Bills,M,104958,"Spent on Bills using Platinum in Delhi, India"
"Bengaluru, India",2015-04-30,Gold,Entertainment,M,146854,"Spent on Entertainment using Gold in Bengaluru, India"
"Delhi, India",2014-06-17,Platinum,Grocery,F,131199,"Spent on Grocery using Platinum in Delhi, India"
"Greater Mumbai, India",2014-05-12,Signature,Fuel,F,261715,"Spent on Fuel using Signature in Greater Mumbai, India"
"Ahmedabad, India",2013-11-12,Platinum,Bills,M,258709,"Spent on Bills using Platinum in Ahmedabad, India"
"Greater Mumbai, India",2014-04-30,Platinum,Food,M,55755,"Spent on Food using Platinum in Greater Mumbai, India"
"Bengaluru, India",2014-04-25,Gold,Food,M,140370,"Spent on Food using Gold in Bengaluru, India"
"Ahmedabad, India",2015-02-11,Silver,Bills,M,159421,"Spent on Bills using Silver in Ahmedabad, India"
"Bengaluru, India",2013-12-20,Gold,Food,M,237791,"Spent on Food using Gold in Bengaluru, India"
"Ahmedabad, India",2014-12-19,Silver,Food,F,133351,"Spent on Food using Silver in Ahmedabad, India"
"Ahmedabad, India",2013-12-23,Signature,Entertainment,F,251124,"Spent on Entertainment using Signature in Ahmedabad, India"
"Greater Mumbai, India",2014-05-19,Gold,Bills,F,103600,"Spent on Bills using Gold in Greater Mumbai, India"
"Delhi, India",2013-12-20,Signature,Bills,M,54640,"Spent on Bills using Signature in Delhi, India"
"Bengaluru, India",2015-02-25,Signature,Bills,F,167106,"Spent on Bills using Signature in Bengaluru, India"
"Delhi, India",2014-10-26,Gold,Grocery,F,256726,"Spent on Grocery using Gold in Delhi, India"
"Greater Mumbai, India",2014-07-27,Platinum,Bills,F,47447,"Spent on Bills using Platinum in Greater Mumbai, India"
"Ahmedabad, India",2014-06-07,Platinum,Food,M,212710,"Spent on Food using Platinum in Ahmedabad, India"
"Bengaluru, India",2014-06-13,Silver,Bills,F,119114,"Spent on Bills using Silver in Bengaluru, India"
"Greater Mumbai, India",2015-05-25,Signature,Bills,M,133268,"Spent on Bills using Signature in Greater Mumbai, India"
"Bengaluru, India",2014-08-28,Gold,Food,M,214898,"Spent on Food using Gold in Bengaluru, India"
"Bengaluru, India",2014-03-25,Platinum,Bills,M,205808,"Spent on Bills using Platinum in Bengaluru, India"
"Bengaluru, India",2014-10-31,Gold,Entertainment,M,173114,"Spent on Entertainment using Gold in Bengaluru, India"
"Greater Mumbai, India",2015-03-27,Silver,Food,F,190837,"Spent on Food using Silver in Greater Mumbai, India"
"Delhi, India",2014-08-08,Silver,Food,F,68202,"Spent on Food using Silver in Delhi, India"
"Ahmedabad, India",2013-12-09,Signature,Grocery,M,42619,"Spent on Grocery using Signature in Ahmedabad, India"
"Bengaluru, India",2014-05-24,Gold,Fuel,M,164005,"Spent on Fuel using Gold in Bengaluru, India"
"Greater Mumbai, India",2013-10-25,Gold,Bills,M,4303,"Spent on Bills using Gold in Greater Mumbai, India"
"Bengaluru, India",2015-05-17,Silver,Food,M,163129,"Spent on Food using Silver in Bengaluru, India"
"Bengaluru, India",2014-07-29,Platinum,Fuel,M,49680,"Spent on Fuel using Platinum in Bengaluru, India"
"Greater Mumbai, India",2014-12-31,Gold,Bills,M,49016,"Spent on Bills using Gold in Greater Mumbai, India"
"Bengaluru, India",2014-02-25,Gold,Bills,M,296314,"Spent on Bills using Gold in Bengaluru, India"
"Bengaluru, India",2015-04-26,Gold,Bills,M,7876,"Spent on Bills using Gold in Bengaluru, India"
"Delhi, India",2015-01-22,Platinum,Bills,M,16044,"Spent on Bills using Platinum in Delhi, India"
"Bengaluru, India",2015-04-28,Signature,Fuel,M,231514,"Spent on Fuel using Signature in Bengaluru, India"
"Bengaluru, India",2014-03-10,Silver,Food,F,30551,"Spent on Food using Silver in Bengaluru, India"
"Greater Mumbai, India",2013-10-27,Platinum,Entertainment,F,79258,"Spent on Entertainment using Platinum in Greater Mumbai, India"
"Greater Mumbai, India",2014-08-04,Gold,Fuel,M,103315,"Spent on Fuel using Gold in Greater Mumbai, India"
"Delhi, India",2014-08-07,Silver,Food,F,72391,"Spent on Food using Silver in Delhi, India"
"Bengaluru, India",2014-06-24,Gold,Fuel,F,79869,"Spent on Fuel using Gold in Bengaluru, India"
"Bengaluru, India",2013-11-01,Gold,Fuel,M,283156,"Spent on Fuel using Gold in Bengaluru, India"
"Delhi, India",2014-08-12,Silver,Fuel,F,216274,"Spent on Fuel using Silver in Delhi, India"
"Bengaluru, India",2015-01-20,Signature,Grocery,M,62786,"Spent on Grocery using Signature in Bengaluru, India"
"Bengaluru, India",2014-10-13,Signature,Fuel,M,122639,"Spent on Fuel using Signature in Bengaluru, India"
"Delhi, India",2014-11-21,Silver,Grocery,F,228769,"Spent on Grocery using Silver in Delhi, India"
"Bengaluru, India",2013-11-30,Gold,Entertainment,F,281273,"Spent on Entertainment using Gold in Bengaluru, India"
"Bengaluru, India",2014-09-14,Platinum,Food,M,212713,"Spent on Food using Platinum in Bengaluru, India"
"Bengaluru, India",2014-06-02,Platinum,Bills,M,156885,"Spent on Bills using Platinum in Bengaluru, India"
"Bengaluru, India",2014-05-23,Silver,Entertainment,M,20492,"Spent on Entertainment using Silver in Bengaluru, India"
"Ahmedabad, India",2014-04-28,Signature,Entertainment,M,155735,"Spent on Entertainment using Signature in Ahmedabad, India"
"Delhi, India",2015-02-14,Signature,Entertainment,M,292649,"Spent on Entertainment using Signature in Delhi, India"
"Delhi, India",2015-04-18,Silver,Fuel,F,61203,"Spent on Fuel using Silver in Delhi, India"
"Delhi, India",2015-03-27,Silver,Fuel,M,255996,"Spent on Fuel using Silver in Delhi, India"
"Greater Mumbai, India",2014-04-01,Silver,Fuel,F,237960,"Spent on Fuel using Silver in Greater Mumbai, India"
"Ahmedabad, India",2013-10-12,Silver,Fuel,F,173381,"Spent on Fuel using Silver in Ahmedabad, India"
"Greater Mumbai, India",2014-08-27,Gold,Entertainment,M,39285,"Spent on Entertainment using Gold in Greater Mumbai, India"
"Ahmedabad, India",2013-12-04,Platinum,Bills,M,86884,"Spent on Bills using Platinum in Ahmedabad, India"
"Greater Mumbai, India",2014-06-14,Silver,Entertainment,F,214501,"Spent on Entertainment using Silver in Greater Mumbai, India"
"Bengaluru, India",2014-05-30,Platinum,Fuel,F,190698,"Spent on Fuel using Platinum in Bengaluru, India"
"Delhi, India",2013-11-19,Platinum,Fuel,M,175495,"Spent on Fuel using Platinum in Delhi, India"
"Bengaluru, India",2015-01-30,Platinum,Food,M,14742,"Spent on Food using Platinum in Bengaluru, India"
"Bengaluru, India",2014-07-31,Platinum,Bills,M,21893,"Spent on Bills using Platinum in Bengaluru, India"
"Bengaluru, India",2014-08-29,Signature,Entertainment,F,271661,"Spent on Entertainment using Signature in Bengaluru, India"
"Greater Mumbai, India",2013-10-30,Platinum,Entertainment,F,78598,"Spent on Entertainment using Platinum in Greater Mumbai, India"
"Bengaluru, India",2014-05-01,Silver,Food,F,247136,"Spent on Food using Silver in Bengaluru, India"
"Bengaluru, India",2015-05-20,Platinum,Bills,M,76488,"Spent on Bills using Platinum in Bengaluru, India"
"Ahmedabad, India",2014-09-07,Silver,Entertainment,M,248673,"Spent on Entertainment using Silver in Ahmedabad, India"
"Delhi, India",2014-09-25,Gold,Bills,F,111203,"Spent on Bills using Gold in Delhi, India"
"Greater Mumbai, India",2014-08-22,Gold,Food,M,199881,"Spent on Food using Gold in Greater Mumbai, India"
"Ahmedabad, India",2015-04-06,Platinum,Bills,M,228771,"Spent on Bills using Platinum in Ahmedabad, India"
"Ahmedabad, India",2014-05-14,Signature,Food,F,33141,"Spent on Food using Signature in Ahmedabad, India"
"Bengaluru, India",2014-03-14,Gold,Bills,M,229975,"Spent on Bills using Gold in Bengaluru, India"
"Delhi, India",2013-10-22,Platinum,Bills,F,282066,"Spent on Bills using Platinum in Delhi, India"
"Greater Mumbai, India",2014-05-27,Silver,Grocery,M,193627,"Spent on Grocery using Silver in Greater Mumbai, India"
"Greater Mumbai, India",2014-08-09,Signature,Fuel,F,114328,"Spent on Fuel using Signature in Greater Mumbai, India"
"Bengaluru, India",2014-02-07,Silver,Food,F,286445,"Spent on Food using Silver in Bengaluru, India"
"Bengaluru, India",2015-01-05,Platinum,Entertainment,F,173458,"Spent on Entertainment using Platinum in Bengaluru, India"
"Delhi, India",2014-10-31,Platinum,Food,M,255521,"Spent on Food using Platinum in Delhi, India"
"Ahmedabad, India",2014-03-20,Gold,Food,F,291906,"Spent on Food using Gold in Ahmedabad, India"
"Bengaluru, India",2015-03-15,Gold,Grocery,M,233954,"Spent on Grocery using Gold in Bengaluru, India"
"Ahmedabad, India",2013-11-17,Platinum,Grocery,F,125116,"Spent on Grocery using Platinum in Ahmedabad, India"
"Delhi, India",2014-09-15,Platinum,Grocery,M,91726,"Spent on Grocery using Platinum in Delhi, India"
"Delhi, India",2014-06-08,Silver,Bills,M,285512,"Spent on Bills using Silver in Delhi, India"
"Greater Mumbai, India",2014-03-28,Silver,Grocery,M,111548,"Spent on Grocery using Silver in Greater Mumbai, India"
"Bengaluru, India",2014-09-06,Silver,Entertainment,F,63176,"Spent on Entertainment using Silver in Bengaluru, India"
"Delhi, India",2014-03-17,Signature,Bills,F,221323,"Spent on Bills using Signature in Delhi, India"
"Greater Mumbai, India",2014-09-06,Gold,Grocery,M,1099,"Spent on Grocery using Gold in Greater Mumbai, India"
"Bengaluru, India",2014-02-20,Platinum,Grocery,M,57542,"Spent on Grocery using Platinum in Bengaluru, India"
"Ahmedabad, India",2015-02-20,Gold,Fuel,M,111167,"Spent on Fuel using Gold in Ahmedabad, India"
"Bengaluru, India",2014-07-07,Silver,Bills,M,140505,"Spent on Bills using Silver in Bengaluru, India"
"Greater Mumbai, India",2014-03-12,Gold,Bills,F,82010,"Spent on Bills using Gold in Greater Mumbai, India"
"Ahmedabad, India",2014-05-03,Silver,Entertainment,M,258219,"Spent on Entertainment using Silver in Ahmedabad, India"
"Delhi, India",2015-02-20,Signature,Food,F,208934,"Spent on Food using Signature in Delhi, India"
"Delhi, India",2015-03-02,Signature,Entertainment,F,175947,"Spent on Entertainment using Signature in Delhi, India"
"Ahmedabad, India",2015-04-10,Silver,Grocery,M,132026,"Spent on Grocery using Silver in Ahmedabad, India"
"Bengaluru, India",2014-11-06,Silver,Fuel,F,186295,"Spent on Fuel using Silver in Bengaluru, India"
"Greater Mumbai, India",2015-05-20,Platinum,Fuel,M,160508,"Spent on Fuel using Platinum in Greater Mumbai, India"
"Ahmedabad, India",2014-11-19,Gold,Grocery,M,268673,"Spent on Grocery using Gold in Ahmedabad, India"
"Greater Mumbai, India",2014-10-17,Silver,Grocery,F,203958,"Spent on Grocery using Silver in Greater Mumbai, India"
"Bengaluru, India",2014-09-30,Gold,Bills,F,18351,"Spent on Bills using Gold in Bengaluru, India"
"Greater Mumbai, India",2014-12-31,Platinum,Food,M,162751,"Spent on Food using Platinum in Greater Mumbai, India"
"Bengaluru, India",2013-10-13,Silver,Food,M,42507,"Spent on Food using Silver in Bengaluru, India"
"Greater Mumbai, India",2015-04-22,Gold,Grocery,M,27479,"Spent on Grocery using Gold in Greater Mumbai, India"
"Greater Mumbai, India",2015-04-07,Platinum,Fuel,M,56482,"Spent on Fuel using Platinum in Greater Mumbai, India"
"Ahmedabad, India",2014-12-25,Platinum,Grocery,M,261396,"Spent on Grocery using Platinum in Ahmedabad, India"
"Ahmedabad, India",2015-02-10,Silver,Fuel,F,194454,"Spent on Fuel using Silver in Ahmedabad, India"
"Greater Mumbai, India",2014-12-18,Signature,Fuel,M,93974,"Spent on Fuel using Signature in Greater Mumbai, India"
"Greater Mumbai, India",2014-02-03,Platinum,Entertainment,F,292348,"Spent on Entertainment using Platinum in Greater Mumbai, India"
"Delhi, India",2013-10-26,Signature,Grocery,F,13059,"Spent on Grocery using Signature in Delhi, India"
"Greater Mumbai, India",2014-04-09,Silver,Entertainment,M,25019,"Spent on Entertainment using Silver in Greater Mumbai, India"
"Greater Mumbai, India",2015-04-09,Signature,Food,F,191561,"Spent on Food using Signature in Greater Mumbai, India"
"Greater Mumbai, India",2014-01-09,Signature,Grocery,F,295603,"Spent on Grocery using Signature in Greater Mumbai, India"
"Delhi, India",2013-12-25,Gold,Food,F,80528,"Spent on Food using Gold in Delhi, India"
"Bengaluru, India",2015-04-17,Signature,Food,F,171901,"Spent on Food using Signature in Bengaluru, India"
"Greater Mumbai, India",2014-07-21,Silver,Bills,M,10663,"Spent on Bills using Silver in Greater Mumbai, India"
"Delhi, India",2015-01-09,Silver,Bills,M,84996,"Spent on Bills using Silver in Delhi, India"
"Greater Mumbai, India",2014-02-09,Gold,Entertainment,M,65518,"Spent on Entertainment using Gold in Greater Mumbai, India"
"Greater Mumbai, India",2015-04-09,Silver,Grocery,M,32713,"Spent on Grocery using Silver in Greater Mumbai, India"
"Greater Mumbai, India",2013-12-17,Platinum,Bills,M,41380,"Spent on Bills using Platinum in Greater Mumbai, India"
"Delhi, India",2014-03-01,Gold,Fuel,F,265796,"Spent on Fuel using Gold in Delhi, India"
"Ahmedabad, India",2015-04-25,Gold,Entertainment,F,113587,"Spent on Entertainment using Gold in Ahmedabad, India"
"Delhi, India",2013-11-28,Gold,Entertainment,F,236176,"Spent on Entertainment using Gold in Delhi, India"
"Bengaluru, India",2014-09-02,Signature,Grocery,F,75304,"Spent on Grocery using Signature in Bengaluru, India"
"Ahmedabad, India",2014-05-19,Platinum,Grocery,F,140648,"Spent on Grocery using Platinum in Ahmedabad, India"
"Delhi, India",2014-09-07,Silver,Food,F,152317,"Spent on Food using Silver in Delhi, India"
"Ahmedabad, India",2013-12-10,Gold,Fuel,F,160126,"Spent on Fuel using Gold in Ahmedabad, India"
"Bengaluru, India",2014-10-03,Signature,Bills,F,163984,"Spent on Bills using Signature in Bengaluru, India"
"Bengaluru, India",2014-09-02,Silver,Food,M,66611,"Spent on Food using Silver in Bengaluru, India"
"Ahmedabad, India",2015-05-02,Platinum,Entertainment,F,260973,"Spent on Entertainment using Platinum in Ahmedabad, India"
"Bengaluru, India",2014-12-12,Platinum,Entertainment,M,130239,"Spent on Entertainment using Platinum in Bengaluru, India"
"Bengaluru, India",2015-03-21,Silver,Entertainment,F,177686,"Spent on Entertainment using Silver in Bengaluru, India"
"Ahmedabad, India",2013-11-08,Gold,Fuel,F,67416,"Spent on Fuel using Gold in Ahmedabad, India"
"Greater Mumbai, India",2015-03-01,Signature,Food,F,54488,"Spent on Food using Signature in Greater Mumbai, India"
"Bengaluru, India",2014-10-15,Platinum,Bills,F,21712,"Spent on Bills using Platinum in Bengaluru, India"
"Greater Mumbai, India",2014-06-25,Gold,Grocery,M,270614,"Spent on Grocery using Gold in Greater Mumbai, India"
"Greater Mumbai, India",2014-03-08,Gold,Entertainment,F,274470,"Spent on Entertainment using Gold in Greater Mumbai, India"
"Bengaluru, India",2015-03-27,Silver,Fuel,F,269501,"Spent on Fuel using Silver in Bengaluru, India"
"Bengaluru, India",2014-08-24,Gold,Entertainment,M,270644,"Spent on Entertainment using Gold in Bengaluru, India"
"Ahmedabad, India",2014-10-12,Platinum,Grocery,M,138902,"Spent on Grocery using Platinum in Ahmedabad, India"
"Greater Mumbai, India",2014-09-09,Gold,Entertainment,F,46471,"Spent on Entertainment using Gold in Greater Mumbai, India"
"Greater Mumbai, India",2015-04-22,Gold,Entertainment,M,2326,"Spent on Entertainment using Gold in Greater Mumbai, India"
"Delhi, India",2014-10-05,Silver,Food,M,179141,"Spent on Food using Silver in Delhi, India"
"Greater Mumbai, India",2014-05-14,Silver,Food,F,175794,"Spent on Food using Silver in Greater Mumbai, India"
"Delhi, India",2014-05-10,Silver,Entertainment,M,72733,"Spent on Entertainment using Silver in Delhi, India"
"Ahmedabad, India",2015-05-24,Silver,Food,M,296303,"Spent on Food using Silver in Ahmedabad, India"
"Ahmedabad, India",2015-05-17,Signature,Entertainment,F,125449,"Spent on Entertainment using Signature in Ahmedabad, India"
"Bengaluru, India",2015-02-18,Silver,Entertainment,F,185181,"Spent on Entertainment using Silver in Bengaluru, India"
"Ahmedabad, India",2014-05-25,Platinum,Bills,M,19058,"Spent on Bills using Platinum in Ahmedabad, India"
"Greater Mumbai, India",2013-12-07,Platinum,Food,M,123730,"Spent on Food using Platinum in Greater Mumbai, India"
"Greater Mumbai, India",2014-08-09,Platinum,Bills,M,260469,"Spent on Bills using Platinum in Greater Mumbai, India"
"Delhi, India",2014-07-10,Platinum,Entertainment,F,25973,"Spent on Entertainment using Platinum in Delhi, India"
"Bengaluru, India",2015-05-02,Platinum,Entertainment,M,34264,"Spent on Entertainment using Platinum in Bengaluru, India"
"Bengaluru, India",2014-11-16,Silver,Fuel,F,162065,"Spent on Fuel using Silver in Bengaluru, India"
"Greater Mumbai, India",2013-11-07,Platinum,Grocery,F,183206,"Spent on Grocery using Platinum in Greater Mumbai, India"
"Ahmedabad, India",2014-10-03,Platinum,Grocery,F,121405,"Spent on Grocery using Platinum in Ahmedabad, India"
"Ahmedabad, India",2014-05-09,Silver,Food,F,199608,"Spent on Food using Silver in Ahmedabad, India"
"Greater Mumbai, India",2015-01-21,Signature,Food,F,86489,"Spent on Food using Signature in Greater Mumbai, India"
"Greater Mumbai, India",2014-03-27,Signature,Entertainment,M,159334,"Spent on Entertainment using Signature in Greater Mumbai, India"
"Ahmedabad, India",2015-03-04,Silver,Entertainment,M,183691,"Spent on Entertainment using Silver in Ahmedabad, India"
"Greater Mumbai, India",2014-03-11,Platinum,Grocery,M,3302,"Spent on Grocery using Platinum in Greater Mumbai, India"
"Greater Mumbai, India",2014-06-21,Signature,Fuel,M,52891,"Spent on Fuel using Signature in Greater Mumbai, India"
"Delhi, India",2014-07-19,Silver,Fuel,M,295960,"Spent on Fuel using Silver in Delhi, India"
"Bengaluru, India",2014-09-05,Signature,Fuel,F,224350,"Spent on Fuel using Signature in Bengaluru, India"
"Greater Mumbai, India",2013-10-05,Platinum,Bills,F,286662,"Spent on Bills using Platinum in Greater Mumbai, India"
"Ahmedabad, India",2013-10-27,Signature,Bills,F,92570,"Spent on Bills using Signature in Ahmedabad, India"
"Greater Mumbai, India",2014-03-20,Signature,Entertainment,F,282120,"Spent on Entertainment using Signature in Greater Mumbai, India"
"Bengaluru, India",2014-01-15,Silver,Food,F,149375,"Spent on Food using Silver in Bengaluru, India"
"Greater Mumbai, India",2013-11-18,Platinum,Bills,F,71277,"Spent on Bills using Platinum in Greater Mumbai, India"
"Bengaluru, India",2015-01-12,Gold,Bills,M,143959,"Spent on Bills using Gold in Bengaluru, India"
"Ahmedabad, India",2014-01-17,Gold,Grocery,M,52745,"Spent on Grocery using Gold in Ahmedabad, India"
"Ahmedabad, India",2014-05-28,Signature,Grocery,M,94398,"Spent on Grocery using Signature in Ahmedabad, India"
"Ahmedabad, India",2014-07-06,Platinum,Bills,M,236468,"Spent on Bills using Platinum in Ahmedabad, India"
"Greater Mumbai, India",2014-01-12,Signature,Grocery,M,195755,"Spent on Grocery using Signature in Greater Mumbai, India"
"Delhi, India",2014-04-29,Platinum,Entertainment,F,49892,"Spent on Entertainment using Platinum in Delhi, India"
"Greater Mumbai, India",2015-02-06,Silver,Fuel,F,200805,"Spent on Fuel using Silver in Greater Mumbai, India"
"Bengaluru, India",2013-10-26,Signature,Bills,F,294094,"Spent on Bills using Signature in Bengaluru, India"
"Greater Mumbai, India",2014-02-12,Signature,Grocery,F,236258,"Spent on Grocery using Signature in Greater Mumbai, India"
"Greater Mumbai, India",2013-10-31,Silver,Entertainment,M,209368,"Spent on Entertainment using Silver in Greater Mumbai, India"
"Delhi, India",2013-10-27,Platinum,Bills,M,143840,"Spent on Bills using Platinum in Delhi, India"
"Ahmedabad, India",2014-03-07,Signature,Entertainment,M,228614,"Spent on Entertainment using Signature in Ahmedabad, India"
"Greater Mumbai, India",2013-12-28,Silver,Food,F,127498,"Spent on Food using Silver in Greater Mumbai, India"
"Ahmedabad, India",2015-05-13,Gold,Entertainment,F,168414,"Spent on Entertainment using Gold in Ahmedabad, India"
"Greater Mumbai, India",2014-12-01,Platinum,Entertainment,F,279755,"Spent on Entertainment using Platinum in Greater Mumbai, India"
"Delhi, India",2014-09-26,Signature,Bills,M,136490,"Spent on Bills using Signature in Delhi, India"
"Ahmedabad, India",2014-08-18,Silver,Grocery,F,193629,"Spent on Grocery using Silver in Ahmedabad, India"
"Delhi, India",2015-05-15,Platinum,Grocery,M,151524,"Spent on Grocery using Platinum in Delhi, India"
"Bengaluru, India",2014-01-26,Signature,Food,F,287283,"Spent on Food using Signature in Bengaluru, India"
"Delhi, India",2014-04-21,Silver,Food,F,58872,"Spent on Food using Silver in Delhi, India"
"Bengaluru, India",2014-01-09,Platinum,Entertainment,M,285065,"Spent on Entertainment using Platinum in Bengaluru, India"
"Ahmedabad, India",2013-11-19,Platinum,Entertainment,M,65293,"Spent on Entertainment using Platinum in Ahmedabad, India"
"Ahmedabad, India",2014-12-16,Gold,Fuel,M,135643,"Spent on Fuel using Gold in Ahmedabad, India"
"Greater Mumbai, India",2014-04-07,Gold,Bills,M,238035,"Spent on Bills using Gold in Greater Mumbai, India"
"Greater Mumbai, India",2014-10-06,Signature,Fuel,F,201688,"Spent on Fuel using Signature in Greater Mumbai, India"
"Bengaluru, India",2014-07-10,Platinum,Bills,M,38614,"Spent on Bills using Platinum in Bengaluru, India"
"Delhi, India",2013-10-21,Signature,Grocery,F,185552,"Spent on Grocery using Signature in Delhi, India"
"Greater Mumbai, India",2014-06-03,Gold,Entertainment,F,4861,"Spent on Entertainment using Gold in Greater Mumbai, India"
"Delhi, India",2014-07-22,Gold,Bills,F,80627,"Spent on Bills using Gold in Delhi, India"
"Bengaluru, India",2014-05-02,Silver,Grocery,F,199540,"Spent on Grocery using Silver in Bengaluru, India"
"Greater Mumbai, India",2015-03-22,Gold,Grocery,F,182699,"Spent on Grocery using Gold in Greater Mumbai, India"
"Greater Mumbai, India",2015-01-15,Silver,Bills,F,271768,"Spent on Bills using Silver in Greater Mumbai, India"
"Delhi, India",2014-11-22,Gold,Grocery,M,33498,"Spent on Grocery using Gold in Delhi, India"
"Greater Mumbai, India",2014-08-03,Gold,Bills,F,257914,"Spent on Bills using Gold in Greater Mumbai, India"
"Greater Mumbai, India",2015-01-04,Platinum,Entertainment,F,272978,"Spent on Entertainment using Platinum in Greater Mumbai, India"
"Delhi, India",2014-09-05,Platinum,Food,M,56868,"Spent on Food using Platinum in Delhi, India"
"Greater Mumbai, India",2015-03-27,Silver,Bills,M,286935,"Spent on Bills using Silver in Greater Mumbai, India"
"Bengaluru, India",2015-01-12,Gold,Entertainment,M,1575,"Spent on Entertainment using Gold in Bengaluru, India"
"Delhi, India",2014-09-11,Gold,Entertainment,M,275369,"Spent on Entertainment using Gold in Delhi, India"
"Delhi, India",2014-01-07,Signature,Food,M,108530,"Spent on Food using Signature in Delhi, India"
"Bengaluru, India",2014-03-27,Gold,Bills,F,10762,"Spent on Bills using Gold in Bengaluru, India"
"Bengaluru, India",2014-02-13,Silver,Bills,F,66715,"Spent on Bills using Silver in Bengaluru, India"
"Bengaluru, India",2014-04-30,Platinum,Fuel,F,244619,"Spent on Fuel using Platinum in Bengaluru, India"
"Bengaluru, India",2014-08-28,Platinum,Entertainment,F,155020,"Spent on Entertainment using Platinum in Bengaluru, India"
"Ahmedabad, India",2015-02-23,Silver,Fuel,M,83570,"Spent on Fuel using Silver in Ahmedabad, India"
"Bengaluru, India",2013-11-08,Silver,Food,F,84612,"Spent on Food using Silver in Bengaluru, India"
"Delhi, India",2015-02-04,Platinum,Food,F,60803,"Spent on Food using Platinum in Delhi, India"
"Delhi, India",2013-10-23,Gold,Grocery,M,154800,"Spent on Grocery using Gold in Delhi, India"
"Delhi, India",2015-02-23,Gold,Entertainment,F,89171,"Spent on Entertainment using Gold in Delhi, India"
"Ahmedabad, India",2014-08-29,Gold,Bills,M,203005,"Spent on Bills using Gold in Ahmedabad, India"
"Greater Mumbai, India",2014-09-13,Gold,Food,F,21002,"Spent on Food using Gold in Greater Mumbai, India"
"Greater Mumbai, India",2014-02-22,Gold,Bills,M,281373,"Spent on Bills using Gold in Greater Mumbai, India"
"Ahmedabad, India",2014-06-05,Silver,Entertainment,M,61083,"Spent on Entertainment using Silver in Ahmedabad, India"
"Ahmedabad, India",2015-04-29,Platinum,Bills,F,76969,"Spent on Bills using Platinum in Ahmedabad, India"
"Bengaluru, India",2014-04-11,Platinum,Food,M,174322,"Spent on Food using Platinum in Bengaluru, India"
"Ahmedabad, India",2014-01-17,Signature,Fuel,F,87682,"Spent on Fuel using Signature in Ahmedabad, India"
"Ahmedabad, India",2014-01-11,Silver,Grocery,M,162146,"Spent on Grocery using Silver in Ahmedabad, India"
